,0
8842,1986 deaths
8221,1987 births
11346,1987 deaths
2258,1988 births
17080,1988 deaths
11118,1988 suicides
10398,1989 births
18347,1989 deaths
15504,1990 FIFA World Cup managers
16111,1990 FIFA World Cup players
2363,1990 deaths
14517,1990 suicides
1309,1990s missing person cases
18595,1991 births
7992,1991 deaths
9572,1991 establishments in England
11273,1991 in the United Kingdom
1658,1992 deaths
425,1993 deaths
4344,1994 FIFA World Cup managers
12380,1994 births
9700,1994 deaths
6678,1995 deaths
16057,1996 deaths
16999,1997 births
6580,1997 deaths
17102,1998 FIFA World Cup players
4821,1998 deaths
14004,1999 deaths
15550,1999 in England
17534,19th-century British male musicians
10404,19th-century English LGBT people
2583,19th-century English male actors
8642,19th-century English people
10347,19th-century LGBT people
4697,19th-century Polish Jews
5325,19th-century Scottish male actors
9275,1st The Royal Dragoons officers
11495,2 Tone Records artists
7444,2000 Vendee Globe sailors
17290,2000 deaths
7493,2001 deaths
16674,2002 FIFA World Cup players
5771,2002 deaths
1692,2003 America's Cup sailors
4105,2003 deaths
2291,2004 deaths
9094,2005 deaths
13425,2006 FIFA World Cup players
16825,2006 deaths
2376,2007 America's Cup sailors
7933,2007 deaths
18660,2008 deaths
16820,2009 deaths
17648,2009 suicides
9369,2010 deaths
16224,2011 deaths
13164,2011–2013 Russian protests
15291,2012 Summer Olympics cultural ambassadors
8434,2012 Tour de France stage winners
8503,2012 deaths
9341,2013 America's Cup sailors
4433,2013 deaths
12837,2014 deaths
14928,2015 controversies
10842,2015 deaths
7508,2016 deaths
14515,2017 America's Cup sailors
8019,2017 deaths
11731,2018 deaths
912,2019 deaths
10752,2020 deaths
58,2021 America's Cup sailors
2558,2021 deaths
860,2022 deaths
6040,2023 deaths
17629,20th Century Studios contract players
2676,20th Hussars soldiers
17275,20th-century African-American male singers
5099,20th-century African-American musicians
11499,20th-century African-American people
11823,20th-century African-American sportspeople
5308,20th-century African-American women singers
16212,20th-century African-American women writers
677,20th-century African-American writers
14972,20th-century American Episcopalians
7164,20th-century American Jews
9775,20th-century American LGBT people
9325,20th-century American actresses
13318,20th-century American astronomers
16737,20th-century American ballet dancers
6450,20th-century American bass guitarists
7288,20th-century American biographers
8895,20th-century American biologists
4817,20th-century American businesspeople
11576,20th-century American businesswomen
441,20th-century American comedians
12264,20th-century American composers
9814,20th-century American conductors (music)
4736,20th-century American dancers
217,20th-century American diplomats
2368,20th-century American dramatists and playwrights
17087,20th-century American drummers
2423,20th-century American educators
16331,20th-century American engineers
9697,20th-century American essayists
13947,20th-century American guitarists
4119,20th-century American historians
4214,20th-century American inventors
15688,20th-century American journalists
10905,20th-century American lawyers
18569,20th-century American male actors
2034,20th-century American male artists
3436,20th-century American male musicians
12573,20th-century American male opera singers
5623,20th-century American male singers
18171,20th-century American male writers
12245,20th-century American mathematicians
18459,20th-century American memoirists
5480,20th-century American musicians
688,20th-century American non-fiction writers
11777,20th-century American novelists
14276,20th-century American painters
10283,20th-century American people
8504,20th-century American philosophers
5629,20th-century American photographers
11613,20th-century American pianists
16257,20th-century American poets
8551,20th-century American politicians
15794,20th-century American screenwriters
17298,20th-century American sculptors
4924,20th-century American short story writers
9619,20th-century American singers
7233,20th-century American translators
2521,20th-century American violinists
6373,20th-century American women
14324,20th-century American women guitarists
5575,20th-century American women musicians
9696,20th-century American women opera singers
10390,20th-century American women photographers
10930,20th-century American women pianists
13198,20th-century American women singers
17562,20th-century American women writers
9343,20th-century American writers
4701,20th-century American zoologists
1904,20th-century Anglican Church of Southern Africa bishops
5095,20th-century Anglican archbishops
5070,20th-century Anglican bishops in Bermuda
18351,20th-century Anglican bishops in Tanzania
1901,20th-century Anglican bishops in the Middle East
13552,20th-century Anglican bishops of Gibraltar
14763,20th-century Anglican theologians
11247,20th-century Anglicans
9525,20th-century Anglo-Irish people
7601,20th-century Argentine musicians
8329,20th-century Argentine women writers
1902,20th-century Argentine writers
6300,20th-century Australian LGBT people
898,20th-century Australian actresses
6101,20th-century Australian comedians
13963,20th-century Australian criminals
8040,20th-century Australian dramatists and playwrights
4223,20th-century Australian educators
10583,20th-century Australian historians
13071,20th-century Australian journalists
16447,20th-century Australian male actors
2674,20th-century Australian male musicians
16287,20th-century Australian male singers
9901,20th-century Australian male writers
4916,20th-century Australian medical doctors
18235,20th-century Australian musicians
10765,20th-century Australian non-fiction writers
7665,20th-century Australian novelists
7917,20th-century Australian painters
18867,20th-century Australian poets
10686,20th-century Australian screenwriters
16282,20th-century Australian short story writers
6619,20th-century Australian women
10871,20th-century Australian women artists
8655,20th-century Australian women opera singers
9571,20th-century Australian women singers
16263,20th-century Australian women writers
4475,20th-century Australian writers
13286,20th-century Austrian LGBT people
6688,20th-century Austrian conductors (music)
7008,20th-century Austrian male actors
12658,20th-century Austrian male musicians
7393,20th-century Austrian male opera singers
18404,20th-century Austrian women singers
12078,20th-century Bahá'ís
18002,20th-century Baptists
17081,20th-century Black British male singers
17471,20th-century Black British women singers
15821,20th-century Brazilian artists
5584,20th-century Brazilian male artists
15763,20th-century Brazilian male writers
11491,20th-century Brazilian novelists
17270,20th-century British Anglican nuns
6399,20th-century British Army personnel
3995,20th-century British Jews
8897,20th-century British LGBT people
18637,20th-century British Roman Catholic nuns
3690,20th-century British Sephardi Jews
8657,20th-century British actors
15863,20th-century British actresses
11941,20th-century British archaeologists
4442,20th-century British artists
1290,20th-century British astronomers
6929,20th-century British ballet dancers
15739,20th-century British biologists
451,20th-century British botanists
13182,20th-century British businesspeople
10058,20th-century British chemists
16490,20th-century British comedians
10596,20th-century British composers
8389,20th-century British conductors (music)
12487,20th-century British criminals
13894,20th-century British dancers
16502,20th-century British diplomats
1894,20th-century British dramatists and playwrights
9984,20th-century British economists
11671,20th-century British educators
153,20th-century British farmers
15017,20th-century British guitarists
6135,20th-century British historians
17378,20th-century British journalists
1088,20th-century British lawyers
15420,20th-century British male actors
10747,20th-century British male artists
6253,20th-century British male musicians
18014,20th-century British male opera singers
11567,20th-century British male singers
10545,20th-century British male writers
11745,20th-century British mathematicians
8117,20th-century British medical doctors
11973,20th-century British military personnel
122,20th-century British musicians
18389,20th-century British musicologists
12580,20th-century British newspaper publishers (people)
16782,20th-century British non-fiction writers
13770,20th-century British novelists
18425,20th-century British painters
16470,20th-century British people
15517,20th-century British philanthropists
78,20th-century British philosophers
10069,20th-century British photographers
8957,20th-century British physicists
7296,20th-century British pianists
17440,20th-century British poets
10133,20th-century British politicians
7221,20th-century British printmakers
8904,20th-century British psychologists
16049,20th-century British screenwriters
11568,20th-century British sculptors
18555,20th-century British short story writers
14502,20th-century British singers
13807,20th-century British translators
401,20th-century British women
14185,20th-century British women artists
16721,20th-century British women opera singers
16734,20th-century British women politicians
16605,20th-century British women scientists
10173,20th-century British women singers
766,20th-century British women writers
3410,20th-century British writers
1356,20th-century British zoologists
4039,20th-century Bulgarian male opera singers
15248,20th-century Burmese women writers
13279,20th-century Burmese writers
12091,20th-century Canadian actresses
9605,20th-century Canadian comedians
8719,20th-century Canadian composers
14619,20th-century Canadian historians
7653,20th-century Canadian male actors
14849,20th-century Canadian male musicians
4355,20th-century Canadian male opera singers
10827,20th-century Canadian male writers
15769,20th-century Canadian newspaper publishers (people)
4933,20th-century Canadian non-fiction writers
6445,20th-century Canadian novelists
15174,20th-century Canadian poets
8310,20th-century Canadian scientists
15624,20th-century Canadian short story writers
16345,20th-century Canadian women writers
3647,20th-century Chilean novelists
15611,20th-century Chilean women writers
13266,20th-century Chinese musicians
11965,20th-century Christians
14258,20th-century Church of England bishops
10204,20th-century Church of England clergy
3140,20th-century Danish LGBT people
5718,20th-century Dutch physicists
15537,20th-century Dutch women opera singers
16640,20th-century Egyptian economists
15381,20th-century Egyptian male actors
7640,20th-century English Anglican priests
3598,20th-century English LGBT people
4945,20th-century English Roman Catholic nuns
4145,20th-century English actresses
10726,20th-century English architects
5015,20th-century English bass guitarists
11738,20th-century English biographers
10440,20th-century English businesspeople
5598,20th-century English businesswomen
307,20th-century English comedians
1068,20th-century English composers
16832,20th-century English criminals
836,20th-century English dramatists and playwrights
15477,20th-century English educators
16473,20th-century English historians
16168,20th-century English judges
6330,20th-century English lawyers
4668,20th-century English male actors
5830,20th-century English male artists
6669,20th-century English male musicians
3129,20th-century English male singers
10869,20th-century English male writers
17748,20th-century English mathematicians
12534,20th-century English medical doctors
784,20th-century English memoirists
981,20th-century English musicians
17077,20th-century English non-fiction writers
8037,20th-century English novelists
14735,20th-century English painters
3088,20th-century English people
6322,20th-century English philosophers
11312,20th-century English poets
12835,20th-century English politicians
15184,20th-century English rabbis
4941,20th-century English scientists
8230,20th-century English screenwriters
14746,20th-century English sculptors
4810,20th-century English singers
10605,20th-century English women
14150,20th-century English women artists
1809,20th-century English women musicians
4618,20th-century English women politicians
125,20th-century English women singers
2698,20th-century English women writers
16194,20th-century English writers
14683,20th-century French Jews
8790,20th-century French Sephardi Jews
10809,20th-century French actresses
13901,20th-century French biologists
13006,20th-century French composers
12493,20th-century French dancers
775,20th-century French inventors
11827,20th-century French male actors
1067,20th-century French male classical pianists
14929,20th-century French male musicians
9481,20th-century French male opera singers
13326,20th-century French male singers
2077,20th-century French sculptors
102,20th-century French women
11815,20th-century French women artists
12079,20th-century French women classical pianists
6938,20th-century French women opera singers
17285,20th-century French women singers
2278,20th-century French writers
2774,20th-century French zoologists
15646,20th-century German Jews
5464,20th-century German LGBT people
457,20th-century German actresses
14626,20th-century German composers
69,20th-century German conductors (music)
7442,20th-century German educators
14389,20th-century German male musicians
14640,20th-century German male opera singers
6629,20th-century German musicians
14990,20th-century German non-fiction writers
4913,20th-century German novelists
9840,20th-century German photographers
17222,20th-century German women
10971,20th-century German women opera singers
6579,20th-century German women writers
3966,20th-century German zoologists
10524,20th-century Ghanaian women writers
12227,20th-century Greek women politicians
1702,20th-century Greek women singers
239,20th-century Guyanese writers
9383,20th-century Hong Kong people
8491,20th-century Hungarian Jews
365,20th-century Hungarian actresses
385,20th-century Hungarian male musicians
17187,20th-century Hungarian screenwriters
18450,20th-century Icelandic people
4795,20th-century Indian Jains
1156,20th-century Indian LGBT people
10012,20th-century Indian actresses
9293,20th-century Indian composers
6005,20th-century Indian essayists
10214,20th-century Indian journalists
9098,20th-century Indian male writers
8998,20th-century Indian monks
2807,20th-century Indian musicians
4342,20th-century Indian non-fiction writers
14795,20th-century Indian novelists
5769,20th-century Indian poets
9688,20th-century Indian screenwriters
15308,20th-century Indian women politicians
15975,20th-century Indian women writers
12499,20th-century Indian writers
5390,20th-century Irish LGBT people
4816,20th-century Irish actresses
10797,20th-century Irish comedians
8741,20th-century Irish dramatists and playwrights
2479,20th-century Irish male actors
7932,20th-century Irish male singers
9261,20th-century Irish male writers
5077,20th-century Irish novelists
4056,20th-century Irish people
13883,20th-century Irish poets
15434,20th-century Irish short story writers
17621,20th-century Irish women opera singers
15482,20th-century Irish women singers
18698,20th-century Irish women writers
16196,20th-century Irish writers
4076,20th-century Israeli Jews
1133,20th-century Israeli comedians
16616,20th-century Israeli economists
4535,20th-century Israeli male musicians
5890,20th-century Israeli male singers
14115,20th-century Israeli women politicians
17520,20th-century Italian LGBT people
18680,20th-century Italian actresses
14635,20th-century Italian composers
9219,20th-century Italian conductors (music)
13581,20th-century Italian dramatists and playwrights
14404,20th-century Italian male actors
2317,20th-century Italian male artists
2496,20th-century Italian male musicians
16995,20th-century Italian male opera singers
12120,20th-century Italian male writers
2151,20th-century Italian musicians
4065,20th-century Italian non-fiction writers
17793,20th-century Italian novelists
6408,20th-century Italian painters
2615,20th-century Italian philosophers
8372,20th-century Italian politicians
4372,20th-century Italian translators
7366,20th-century Italian women opera singers
18163,20th-century Italian women writers
11649,20th-century Jain monks
1978,20th-century Jamaican male singers
14010,20th-century Japanese artists
6764,20th-century Japanese singers
14283,20th-century Japanese women artists
12102,20th-century Japanese women singers
10015,20th-century Kenyan women scientists
15147,20th-century Kenyan women writers
6533,20th-century Kenyan writers
11646,20th-century King's Counsel
8048,20th-century LGBT people
18591,20th-century Lithuanian nobility
409,20th-century Lutherans
3561,20th-century Methodist ministers
14452,20th-century Methodists
18417,20th-century Mexican physicists
10826,20th-century New Zealand actresses
17320,20th-century New Zealand male actors
6117,20th-century New Zealand male opera singers
402,20th-century New Zealand novelists
8082,20th-century New Zealand people
12935,20th-century New Zealand scientists
7268,20th-century New Zealand women opera singers
10824,20th-century New Zealand women writers
17050,20th-century Norwegian historians
2283,20th-century Norwegian politicians
10702,20th-century Norwegian scientists
16553,20th-century Norwegian women opera singers
14659,20th-century Norwegian writers
13864,20th-century Pakistani male writers
6959,20th-century Palestinian lawyers
6964,20th-century Polish Jews
13419,20th-century Polish ballet dancers
6149,20th-century Polish nobility
4302,20th-century Polish physicists
4479,20th-century Presbyterians
11269,20th-century Protestants
13801,20th-century Quakers
11537,20th-century Roman Catholics
15597,20th-century Romanian poets
10097,20th-century Romanian women opera singers
6279,20th-century Romanian women writers
13941,20th-century Royal Air Force personnel
3390,20th-century Royal Marines personnel
9969,20th-century Royal Navy personnel
6392,20th-century Russian Jews
1198,20th-century Russian actresses
13768,20th-century Russian ballet dancers
15149,20th-century Russian conductors (music)
12544,20th-century Russian male musicians
12527,20th-century Russian physicists
15244,20th-century Russian women opera singers
11652,20th-century Saint Lucian poets
8097,20th-century Scottish LGBT people
942,20th-century Scottish actresses
6415,20th-century Scottish architects
11648,20th-century Scottish businesspeople
4408,20th-century Scottish comedians
6145,20th-century Scottish dramatists and playwrights
7684,20th-century Scottish engineers
5610,20th-century Scottish historians
12797,20th-century Scottish lawyers
15077,20th-century Scottish male actors
8905,20th-century Scottish male artists
7574,20th-century Scottish male musicians
18325,20th-century Scottish male opera singers
4206,20th-century Scottish male singers
2485,20th-century Scottish male writers
12443,20th-century Scottish musicians
1223,20th-century Scottish novelists
6166,20th-century Scottish painters
2130,20th-century Scottish people
8870,20th-century Scottish poets
9522,20th-century Scottish politicians
14861,20th-century Scottish women
7148,20th-century Scottish women musicians
1080,20th-century Scottish women opera singers
7791,20th-century Scottish women politicians
6103,20th-century Scottish women singers
15888,20th-century Scottish women writers
630,20th-century Scottish writers
16324,20th-century Senegalese male singers
2994,20th-century Sephardi Jews
8047,20th-century Slovak women opera singers
6562,20th-century South African botanists
17464,20th-century South African judges
18656,20th-century South African lawyers
14238,20th-century South African male actors
13445,20th-century South African male singers
12100,20th-century South African male writers
17310,20th-century South African novelists
11811,20th-century South African physicians
5307,20th-century South African women opera singers
8174,20th-century South African women singers
15787,20th-century South African zoologists
4229,20th-century Swedish actresses
8730,20th-century Swedish male opera singers
17612,20th-century Swedish women opera singers
9684,20th-century Trinidad and Tobago actors
9661,20th-century Trinidad and Tobago lawyers
15424,20th-century Trinidad and Tobago male actors
14793,20th-century Trinidad and Tobago male singers
2293,20th-century Trinidad and Tobago musicians
6389,20th-century Trinidad and Tobago singers
17973,20th-century Ukrainian people
13705,20th-century Unitarians
5055,20th-century Welsh Anglican priests
4149,20th-century Welsh LGBT people
5232,20th-century Welsh actresses
1167,20th-century Welsh businesspeople
14540,20th-century Welsh comedians
1300,20th-century Welsh dramatists and playwrights
13065,20th-century Welsh educators
11712,20th-century Welsh historians
10661,20th-century Welsh lawyers
1794,20th-century Welsh male actors
6653,20th-century Welsh male artists
5287,20th-century Welsh male opera singers
2018,20th-century Welsh male singers
10493,20th-century Welsh male writers
13858,20th-century Welsh medical doctors
9142,20th-century Welsh novelists
882,20th-century Welsh painters
1544,20th-century Welsh poets
1390,20th-century Welsh politicians
303,20th-century Welsh scientists
15047,20th-century Welsh women artists
16134,20th-century Welsh women opera singers
14055,20th-century Welsh women singers
2267,20th-century Welsh women writers
7986,20th-century Welsh writers
1911,20th-century Zambian writers
16463,20th-century Zimbabwean women writers
12357,20th-century Zimbabwean writers
6778,20th-century accordionists
539,20th-century anthropologists
8511,20th-century archaeologists
2192,20th-century atheists
8925,20th-century ballet dancers
12296,20th-century biographers
611,20th-century biologists
2326,20th-century cellists
12024,20th-century chemists
9639,20th-century clarinetists
543,20th-century classical composers
10496,20th-century classical musicians
17864,20th-century classical pianists
12866,20th-century classical violinists
10781,20th-century composers
520,20th-century conductors (music)
16066,20th-century deaths from tuberculosis
1954,20th-century diarists
6065,20th-century double-bassists
15016,20th-century dramatists and playwrights
17979,20th-century dramatists and playwrights from Northern Ireland
5259,20th-century drummers
10432,20th-century educators from Northern Ireland
9604,20th-century engravers
172,20th-century essayists
18099,20th-century explorers
4747,20th-century flautists
8854,20th-century geographers
8721,20th-century guitarists
11669,20th-century jazz composers
1332,20th-century journalists
1214,20th-century letter writers
14644,20th-century lexicographers
9443,20th-century linguists
7443,20th-century lord mayors of London
7117,20th-century male actors from Northern Ireland
18592,20th-century male musicians
11926,20th-century male writers
5802,20th-century memoirists
14728,20th-century mystics
1436,20th-century naturalists
3364,20th-century non-fiction writers
3315,20th-century novelists
3287,20th-century organists
12362,20th-century philologists
15255,20th-century photographers
53,20th-century pianists
16367,20th-century poets
17124,20th-century poets from Northern Ireland
7333,20th-century political scientists
15731,20th-century prime ministers of the United Kingdom
16687,20th-century pseudonymous writers
15417,20th-century psychologists
7299,20th-century saxophonists
11514,20th-century scholars
13263,20th-century screenwriters
15048,20th-century short story writers
14476,20th-century squatters
14298,20th-century surgeons
15144,20th-century theatre managers
7331,20th-century translators
3622,20th-century travel writers
16426,20th-century trombonists
13739,20th-century trumpeters
16827,20th-century violinists
13146,20th-century violists
8053,20th-century women MEPs for Greece
12201,20th-century women MEPs for Wales
13417,20th-century women MEPs for the United Kingdom
14947,20th-century women composers
16815,20th-century women educators
3269,20th-century women lawyers
12415,20th-century women members of Seanad Éireann
6930,20th-century women philanthropists
15662,20th-century women photographers
7123,20th-century women physicians
18818,20th-century women pianists
11644,20th-century women politicians from Northern Ireland
10057,20th-century women rulers
14766,20th-century women singers from Northern Ireland
4909,20th-century women writers
8163,20th-century writers from Northern Ireland
631,21st-century African-American male singers
11328,21st-century African-American people
15938,21st-century African-American women
12659,21st-century African-American women singers
16569,21st-century American Episcopalians
12585,21st-century American Jews
3357,21st-century American LGBT people
18391,21st-century American actresses
12214,21st-century American biographers
13323,21st-century American biologists
3010,21st-century American businesspeople
4219,21st-century American businesswomen
11919,21st-century American comedians
6071,21st-century American composers
6485,21st-century American conductors (music)
2169,21st-century American diplomats
1468,21st-century American dramatists and playwrights
18031,21st-century American engineers
435,21st-century American essayists
10125,21st-century American guitarists
15725,21st-century American historians
5660,21st-century American inventors
3371,21st-century American journalists
14982,21st-century American judges
17432,21st-century American lawyers
14190,21st-century American male actors
14841,21st-century American male artists
12751,21st-century American male musicians
6200,21st-century American male singers
6963,21st-century American male writers
15735,21st-century American memoirists
89,21st-century American musicians
12274,21st-century American non-fiction writers
14566,21st-century American novelists
13688,21st-century American painters
14844,21st-century American philosophers
6691,21st-century American physicians
6801,21st-century American physicists
2071,21st-century American pianists
11859,21st-century American poets
2981,21st-century American politicians
10991,21st-century American psychologists
8735,21st-century American screenwriters
12576,21st-century American sculptors
8038,21st-century American short story writers
9754,21st-century American singers
9210,21st-century American violinists
10270,21st-century American women
17920,21st-century American women guitarists
18284,21st-century American women judges
879,21st-century American women musicians
3115,21st-century American women opera singers
18620,21st-century American women politicians
17418,21st-century American women singers
15755,21st-century American women writers
6783,21st-century American writers
1359,21st-century Anglican archbishops
3243,21st-century Anglican deacons
16141,21st-century Anglican theologians
17707,21st-century Anglicans
11176,21st-century Argentine musicians
11893,21st-century Australian LGBT people
9316,21st-century Australian actresses
10386,21st-century Australian comedians
17134,21st-century Australian criminals
17974,21st-century Australian dramatists and playwrights
349,21st-century Australian educators
9050,21st-century Australian historians
2188,21st-century Australian journalists
6541,21st-century Australian male actors
15932,21st-century Australian male musicians
6438,21st-century Australian male singers
14356,21st-century Australian male writers
1019,21st-century Australian non-fiction writers
4607,21st-century Australian novelists
6483,21st-century Australian painters
4366,21st-century Australian poets
5739,21st-century Australian screenwriters
8943,21st-century Australian short story writers
16120,21st-century Australian singers
4719,21st-century Australian women artists
10788,21st-century Australian women singers
1806,21st-century Australian women writers
12852,21st-century Australian writers
8631,21st-century Black British male singers
14687,21st-century Black British women singers
6453,21st-century Brazilian artists
1623,21st-century Brazilian male writers
5250,21st-century Brazilian novelists
10733,21st-century British Anglican nuns
3990,21st-century British Jews
11240,21st-century British LGBT people
14474,21st-century British Roman Catholic nuns
7453,21st-century British actresses
3536,21st-century British archaeologists
13099,21st-century British artists
14336,21st-century British astronomers
7308,21st-century British ballet dancers
1261,21st-century British biologists
4254,21st-century British botanists
13088,21st-century British businesspeople
18621,21st-century British comedians
6932,21st-century British composers
17538,21st-century British conductors (music)
6953,21st-century British criminals
3633,21st-century British dramatists and playwrights
11843,21st-century British economists
8415,21st-century British farmers
7115,21st-century British guitarists
18701,21st-century British historians
14337,21st-century British inventors
13943,21st-century British journalists
14670,21st-century British male actors
15469,21st-century British male artists
13063,21st-century British male musicians
2262,21st-century British male opera singers
15227,21st-century British male singers
8734,21st-century British male writers
18280,21st-century British mathematicians
11400,21st-century British medical doctors
1930,21st-century British musicians
2375,21st-century British non-fiction writers
11547,21st-century British novelists
3,21st-century British opera singers
13945,21st-century British painters
9569,21st-century British people
18321,21st-century British philosophers
1014,21st-century British photographers
10163,21st-century British physicists
12034,21st-century British pianists
9353,21st-century British poets
5195,21st-century British politicians
16272,21st-century British printmakers
7570,21st-century British psychologists
15215,21st-century British scientists
13268,21st-century British screenwriters
424,21st-century British sculptors
9876,21st-century British short story writers
3604,21st-century British singers
13939,21st-century British women
12987,21st-century British women artists
12689,21st-century British women opera singers
15399,21st-century British women politicians
11311,21st-century British women scientists
15456,21st-century British women singers
14205,21st-century British women writers
3316,21st-century British writers
11393,21st-century Burmese politicians
17382,21st-century Burmese women politicians
4114,21st-century Burmese women writers
12300,21st-century Burmese writers
3765,21st-century Canadian actresses
7204,21st-century Canadian historians
6236,21st-century Canadian male actors
2595,21st-century Canadian male writers
2758,21st-century Canadian non-fiction writers
5389,21st-century Canadian novelists
7281,21st-century Canadian poets
16975,21st-century Canadian scientists
12879,21st-century Canadian screenwriters
18238,21st-century Canadian short story writers
6336,21st-century Canadian women writers
9672,21st-century Chilean novelists
9136,21st-century Chilean women writers
13325,21st-century Chinese musicians
11730,21st-century Christians
8881,21st-century Church of England bishops
17832,21st-century Danish LGBT people
11205,21st-century Dutch inventors
10655,21st-century Egyptian male actors
6484,21st-century English Anglican priests
9701,21st-century English LGBT people
5558,21st-century English actresses
4551,21st-century English bass guitarists
14073,21st-century English biographers
11772,21st-century English businesspeople
5772,21st-century English businesswomen
10993,21st-century English comedians
1986,21st-century English composers
17895,21st-century English criminals
14943,21st-century English dramatists and playwrights
8170,21st-century English educators
11885,21st-century English farmers
9939,21st-century English historians
14217,21st-century English judges
4279,21st-century English lawyers
12355,21st-century English male actors
1989,21st-century English male artists
12048,21st-century English male musicians
15848,21st-century English male singers
788,21st-century English male writers
3271,21st-century English mathematicians
12157,21st-century English medical doctors
15617,21st-century English memoirists
10603,21st-century English musicians
6183,21st-century English non-fiction writers
9,21st-century English novelists
7259,21st-century English painters
3736,21st-century English people
11323,21st-century English philosophers
8697,21st-century English poets
14664,21st-century English rabbis
5974,21st-century English scientists
15129,21st-century English screenwriters
2550,21st-century English singers
6819,21st-century English women
12943,21st-century English women artists
1158,21st-century English women musicians
11263,21st-century English women politicians
2919,21st-century English women singers
9279,21st-century English women writers
16589,21st-century English writers
6312,21st-century French Jews
17437,21st-century French actresses
9117,21st-century French composers
2636,21st-century French male musicians
11130,21st-century French male opera singers
5578,21st-century French non-fiction writers
5876,21st-century French women artists
10977,21st-century German educators
16534,21st-century German male opera singers
11697,21st-century German women writers
1338,21st-century Guyanese writers
15432,21st-century Indian actresses
6683,21st-century Indian composers
7476,21st-century Indian dramatists and playwrights
7539,21st-century Indian essayists
15951,21st-century Indian male actors
14828,21st-century Indian male writers
2035,21st-century Indian medical doctors
4642,21st-century Indian non-fiction writers
12796,21st-century Indian novelists
9834,21st-century Indian poets
13601,21st-century Indian screenwriters
1573,21st-century Indian short story writers
11682,21st-century Indian women writers
18331,21st-century Indian writers
17463,21st-century Irish LGBT people
